id,treatment,sample_size,median1,median2,rho,test,type1_error_rate,type2_error_rate
531,dependent,30,1,6,0.0,mann-whitney,0.0000,1.0000
532,dependent,30,1,6,0.1,paired-student,0.0000,1.0000
533,dependent,30,1,6,0.1,wilcoxon,0.0000,1.0000
534,dependent,30,1,6,0.1,student,0.0000,1.0000
535,dependent,30,1,6,0.1,mann-whitney,0.0000,1.0000
536,dependent,30,1,6,0.5,paired-student,0.0000,1.0000
537,dependent,30,1,6,0.5,wilcoxon,0.0000,1.0000
538,dependent,30,1,6,0.5,student,0.0000,1.0000
539,dependent,30,1,6,0.5,mann-whitney,0.0000,1.0000
540,dependent,30,1,6,0.8,paired-student,0.0000,1.0000
541,dependent,30,1,6,0.8,wilcoxon,0.0000,1.0000
542,dependent,30,1,6,0.8,student,0.0000,1.0000
543,dependent,30,1,6,0.8,mann-whitney,0.0000,1.0000
544,control,100,1,6,0.0,paired-student,0.0000,1.0000
